web-scraper-order,web-scraper-start-url,start_page_link,start_page_link-href,city_selector,city_selector-href,page_city_selector,page_city_selector-href,hotelLinkHrefName,hotelLinkHref
"1577491239-23559","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#100Sault Ste. Marie Hotels(35)","https://www.tripadvisor.ca/Hotels-g155012-Sault_Ste_Marie_Northeastern_Ontario_Ontario-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g155012-oa30-Sault_Ste_Marie_Northeastern_Ontario_Ontario-Hotels.html#BODYCON","Villa Inn Motel","https://www.tripadvisor.ca/Hotel_Review-g155012-d1475685-Reviews-Villa_Inn_Motel-Sault_Ste_Marie_Northeastern_Ontario_Ontario.html"
"1577491258-23584","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#99Peterborough Hotels(40)","https://www.tripadvisor.ca/Hotels-g155008-Peterborough_Ontario-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g155008-oa30-Peterborough_Ontario-Hotels.html#BODYCON","The Moffat House","https://www.tripadvisor.ca/Hotel_Review-g155008-d590941-Reviews-The_Moffat_House-Peterborough_Ontario.html"
"1577491329-23702","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#94Qualicum Beach Hotels(56)","https://www.tripadvisor.ca/Hotels-g182150-Qualicum_Beach_Vancouver_Island_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182150-oa30-Qualicum_Beach_Vancouver_Island_British_Columbia-Hotels.html#BODYCON","At Nautica Tigh Bed & Breakfast","https://www.tripadvisor.ca/Hotel_Review-g182150-d1650763-Reviews-At_Nautica_Tigh_Bed_Breakfast-Qualicum_Beach_Vancouver_Island_British_Columbia.html"
"1577491329-23692","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","5","https://www.tripadvisor.ca/Hotels-g153339-oa80-Canada-Hotels.html#LEAF_GEO_LIST","#94Qualicum Beach Hotels(56)","https://www.tripadvisor.ca/Hotels-g182150-Qualicum_Beach_Vancouver_Island_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182150-oa30-Qualicum_Beach_Vancouver_Island_British_Columbia-Hotels.html#BODYCON","St Andrews Lodge & Glen Cottages","https://www.tripadvisor.ca/Hotel_Review-g182150-d1541673-Reviews-St_Andrews_Lodge_Glen_Cottages-Qualicum_Beach_Vancouver_Island_British_Columbia.html"
"1577491935-24828","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#53Sudbury Hotels(73)","https://www.tripadvisor.ca/Hotels-g155016-Sudbury_Northeastern_Ontario_Ontario-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g155016-oa30-Sudbury_Northeastern_Ontario_Ontario-Hotels.html#BODYCON","Fenton's Bed & Breakfast","https://www.tripadvisor.ca/Hotel_Review-g155016-d776983-Reviews-Fenton_s_Bed_Breakfast-Sudbury_Northeastern_Ontario_Ontario.html"
"1577491641-24153","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#77Lunenburg Hotels(50)","https://www.tripadvisor.ca/Hotels-g182187-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182187-oa30-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia-Hotels.html#BODYCON","1826 Maplebird House Bed & Breakfast","https://www.tripadvisor.ca/Hotel_Review-g182187-d260331-Reviews-1826_Maplebird_House_Bed_Breakfast-Lunenburg_Southwest_Nova_Scotia_Nova_Scotia.html"
"1577491719-24311","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#70Parry Sound Hotels(50)","https://www.tripadvisor.ca/Hotels-g181742-Parry_Sound_Northeastern_Ontario_Ontario-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g181742-oa30-Parry_Sound_Northeastern_Ontario_Ontario-Hotels.html#BODYCON","White Pine Motel","https://www.tripadvisor.ca/Hotel_Review-g181742-d1391737-Reviews-White_Pine_Motel-Parry_Sound_Northeastern_Ontario_Ontario.html"
"1577492051-25221","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#42Magog Hotels(80)","https://www.tripadvisor.ca/Hotels-g182142-Magog_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182142-oa30-Magog_Quebec-Hotels.html#BODYCON","Camping du Parc National du Mont-Orford","https://www.tripadvisor.ca/Hotel_Review-g776554-d7278736-Reviews-Camping_du_Parc_National_du_Mont_Orford-Orford_Magog_Quebec.html"
"1577491729-24360","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#69Perce Hotels(45)","https://www.tripadvisor.ca/Hotels-g182144-Perce_Gaspesie_Region_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182144-oa30-Perce_Gaspesie_Region_Quebec-Hotels.html#BODYCON","Camping du Village","https://www.tripadvisor.ca/Hotel_Review-g182144-d8564587-Reviews-Camping_du_Village-Perce_Gaspesie_Region_Quebec.html"
"1577492051-25217","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#42Magog Hotels(80)","https://www.tripadvisor.ca/Hotels-g182142-Magog_Quebec-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g182142-oa30-Magog_Quebec-Hotels.html#BODYCON","Gite du berger","https://www.tripadvisor.ca/Hotel_Review-g182142-d10436304-Reviews-Gite_du_berger-Magog_Quebec.html"
"1577491719-24326","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#70Parry Sound Hotels(50)","https://www.tripadvisor.ca/Hotels-g181742-Parry_Sound_Northeastern_Ontario_Ontario-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g181742-oa30-Parry_Sound_Northeastern_Ontario_Ontario-Hotels.html#BODYCON","Parry Sound KOA","https://www.tripadvisor.ca/Hotel_Review-g181742-d5040370-Reviews-Parry_Sound_KOA-Parry_Sound_Northeastern_Ontario_Ontario.html"
"1577491665-24211","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","4","https://www.tripadvisor.ca/Hotels-g153339-oa60-Canada-Hotels.html#LEAF_GEO_LIST","#75Sechelt Hotels(70)","https://www.tripadvisor.ca/Hotels-g499146-Sechelt_Sunshine_Coast_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g499146-oa30-Sechelt_Sunshine_Coast_British_Columbia-Hotels.html#BODYCON","Seastone at Sandy Hook","https://www.tripadvisor.ca/Hotel_Review-g499146-d1581753-Reviews-Seastone_at_Sandy_Hook-Sechelt_Sunshine_Coast_British_Columbia.html"
"1577491021-23191","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","6","https://www.tripadvisor.ca/Hotels-g153339-oa100-Canada-Hotels.html#LEAF_GEO_LIST","#119Port Alberni Hotels(35)","https://www.tripadvisor.ca/Hotels-g181778-Port_Alberni_Alberni_Clayoquot_Regional_District_Vancouver_Island_British_Columbia-Hotels.html","2","https://www.tripadvisor.ca/Hotels-g181778-oa30-Port_Alberni_Alberni_Clayoquot_Regional_District_Vancouver_Island_British_Columbia-Hotels.html#BODYCON","China Creek Campground","https://www.tripadvisor.ca/Hotel_Review-g181778-d10319862-Reviews-China_Creek_Campground-Port_Alberni_Alberni_Clayoquot_Regional_District_Vancouver_Isl.html"
"1577492026-25118","https://www.tripadvisor.ca/Hotels-g153339-oa20-Canada-Hotels.html#LEAF_GEO_LIST","3","https://www.tripadvisor.ca/Hotels-g153339-oa40-Canada-Hotels.html#LEAF_GEO_LIST","#44Whitehorse Hotels(86)","https://www.tripadvisor.ca/Hotels-g155047-Whitehorse_Yukon-Hotels.html","3","https://www.tripadvisor.ca/Hotels-g155047-oa60-Whitehorse_Yukon-Hotels.html#BODYCON","Muktuk B&B and Cabins","https://www.tripadvisor.ca/Hotel_Review-g155047-d1207394-Reviews-Muktuk_B_B_and_Cabins-Whitehorse_Yukon.html"
