hotel,city,nation,reviewer,vote
Economy and Trading Hotel,Kunming,China, jfwilder,6.0
Economy and Trading Hotel,Kunming,China, A TripAdvisor Member,8.0
Economy and Trading Hotel,Kunming,China, A TripAdvisor Member,8.0
Economy and Trading Hotel,Kunming,China, A TripAdvisor Member,6.0
Economy and Trading Hotel,Kunming,China,TravellingApe,8.0
7 Days Inn (Guangzhou Beijing Road),Guangzhou,China,Wendy P,6.0
7 Days Inn (Guangzhou Beijing Road),Guangzhou,China, Ramya K,2.0
7 Days Inn (Guangzhou Beijing Road),Guangzhou,China, ozziemuzza,6.0
7 Days Inn (Guangzhou Beijing Road),Guangzhou,China, Vivterry,8.0
7 Days Inn (Guangzhou Beijing Road),Guangzhou,China, Su Su Myint A,4.0
7 Days Inn (Guangzhou Beijing Road),Guangzhou,China,cypoon11,2.0
Holiday Inn Express Chengdu North Station,Chengdu,China,Masa_W_J,8.0
Holiday Inn Express Chengdu North Station,Chengdu,China, Becca W,4.0
Holiday Inn Express Chengdu North Station,Chengdu,China, A TripAdvisor Member,10.0
Holiday Inn Express Chengdu North Station,Chengdu,China, A TripAdvisor Member,10.0
Holiday Inn Express Chengdu North Station,Chengdu,China,kirilmhs,8.0
Shuguang International Hotel,Nanjing,China,WengKeeLeong,8.0
Shuguang International Hotel,Nanjing,China, XnthShy,6.0
Shuguang International Hotel,Nanjing,China, Ad D B,6.0
Shuguang International Hotel,Nanjing,China, Andrés A,4.0
Shuguang International Hotel,Nanjing,China, Mumish93,6.0
Shuguang International Hotel,Nanjing,China,ArmyRangeratMIT,2.0
The Westin Beijing Financial Street,Beijing,China,KodoDrummer,10.0
The Westin Beijing Financial Street,Beijing,China, dnd047,2.0
The Westin Beijing Financial Street,Beijing,China, jps1957,8.0
The Westin Beijing Financial Street,Beijing,China, Paula Z,8.0
The Westin Beijing Financial Street,Beijing,China, David C,10.0
The Westin Beijing Financial Street,Beijing,China,alexk8999,6.0
Dayetang Siren Shangpin Hostel,Lijiang,China,Niki P,8.0
Dayetang Siren Shangpin Hostel,Lijiang,China, Bluebogart,10.0
Dayetang Siren Shangpin Hostel,Lijiang,China, peterp946,8.0
